"Notes"	"State"	"State Code"	"Year"	"Year Code"	"Five-Year Age Groups"	"Five-Year Age Groups Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"2008"	"2008"	"95-99 years"	"95-99"	Suppressed	Not Applicable	Not Applicable
	"Alabama"	"01"	"2008"	"2008"	"100+ years"	"100+"	Suppressed	Not Applicable	Not Applicable
	"Alabama"	"01"	"2008"	"2008"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
"Total"	"Alabama"	"01"	"2008"	"2008"			185	4718206	3.921
	"Alabama"	"01"	"2009"	"2009"	"< 1 year"	"1"	Suppressed	61793	Suppressed
	"Alabama"	"01"	"2009"	"2009"	"1-4 years"	"1-4"	Suppressed	243619	Suppressed
	"Alabama"	"01"	"2009"	"2009"	"5-9 years"	"5-9"	Suppressed	307864	Suppressed
	"Alabama"	"01"	"2009"	"2009"	"10-14 years"	"10-14"	Suppressed	319072	Suppressed
	"Alabama"	"01"	"2009"	"2009"	"15-19 years"	"15-19"	Suppressed	346611	Suppressed
	"Alabama"	"01"	"2009"	"2009"	"20-24 years"	"20-24"	20	332117	6.022
	"Alabama"	"01"	"2009"	"2009"	"25-29 years"	"25-29"	31	312199	9.930
	"Alabama"	"01"	"2009"	"2009"	"30-34 years"	"30-34"	24	293352	8.181
	"Alabama"	"01"	"2009"	"2009"	"35-39 years"	"35-39"	25	312797	7.992
	"Alabama"	"01"	"2009"	"2009"	"40-44 years"	"40-44"	28	313852	8.921
	"Alabama"	"01"	"2009"	"2009"	"45-49 years"	"45-49"	32	348256	9.189
	"Alabama"	"01"	"2009"	"2009"	"50-54 years"	"50-54"	20	344478	5.806
	"Alabama"	"01"	"2009"	"2009"	"55-59 years"	"55-59"	Suppressed	307017	Suppressed
	"Alabama"	"01"	"2009"	"2009"	"60-64 years "	"60-64"	Suppressed	265870	Suppressed
	"Alabama"	"01"	"2009"	"2009"	"65-69 years"	"65-69"	Suppressed	205667	Suppressed
	"Alabama"	"01"	"2009"	"2009"	"70-74 years"	"70-74"	Suppressed	159088	Suppressed
	"Alabama"	"01"	"2009"	"2009"	"75-79 years"	"75-79"	Suppressed	121679	Suppressed
	"Alabama"	"01"	"2009"	"2009"	"80-84 years"	"80-84"	Suppressed	88283	Suppressed
	"Alabama"	"01"	"2009"	"2009"	"85-89 years"	"85-89"	Suppressed	Not Applicable	Not Applicable
	"Alabama"	"01"	"2009"	"2009"	"90-94 years"	"90-94"	Suppressed	Not Applicable	Not Applicable
	"Alabama"	"01"	"2009"	"2009"	"95-99 years"	"95-99"	Suppressed	Not Applicable	Not Applicable
